age_in_years,days_tenure,length_of_residence,curr_ann_amt,good_credit,Churn
68,6291,14.0,1103.039307,1,0
55,161,2.0,765.596377,0,0
63,6291,15.0,985.879798,1,0
69,2828,9.0,618.74191,1,0
41,857,3.0,1300.834067,1,0
63,2494,5.0,961.467101,1,0
39,3858,9.0,630.104099,1,0
78,4384,15.0,1015.138116,1,1
37,5173,3.0,869.152197,0,0
46,102,5.0,1345.916061,0,0
35,571,5.0,911.388165,1,0
55,2717,4.0,1025.180632,1,0
65,2586,15.0,1264.037029,1,0
50,2925,15.0,1156.444024,1,0
50,118,15.0,1092.734071,1,0
55,1204,0.0,737.98876,1,0
38,3268,2.0,677.526713,1,0
52,6261,10.0,1187.581187,1,0
55,803,3.0,933.499864,1,0
55,2008,0.0,803.960621,1,1
55,4818,7.0,933.125612,1,0
52,6261,6.0,905.17699,1,0
42,4436,5.0,520.426965,0,0
55,161,1.0,1056.097264,1,1
52,6155,13.0,1248.158651,1,0
55,4818,6.0,781.794354,1,0
36,2953,8.0,1088.693591,1,0
38,3737,4.0,1136.70163,0,0
35,64,9.0,1267.658558,1,1
41,6222,0.0,600.180705,1,0
48,111,6.0,910.672987,1,0
42,174,7.0,675.048091,1,1
47,4772,5.0,1152.504071,1,0
38,4701,6.0,923.23535,1,0
75,5222,15.0,908.453001,1,0
45,5533,1.0,666.981368,1,0
59,5959,3.0,928.72278,1,0
50,118,15.0,919.153737,1,1
55,80,1.0,683.696667,1,0
54,5289,1.0,973.311839,0,0
35,952,1.0,909.860348,1,0
30,2388,6.801,836.671637,1,0
71,2905,15.0,1193.004212,1,0
67,6291,15.0,769.317222,1,0
46,3574,1.0,655.273401,1,0
68,1833,1.0,746.920223,0,0
78,442,10.0,1295.268874,1,0
45,6291,9.0,763.155908,1,0
60,6291,10.0,586.681161,1,0
53,6291,15.0,1008.183814,1,0
36,975,2.0,610.580759,1,1
33,2473,2.0,605.140989,1,0
60,1557,12.0,1037.67725,1,0
63,6291,4.0,784.901979,1,0
77,6291,11.0,1213.757093,1,0
79,6291,7.0,1063.955215,1,0
86,496,7.0,930.377425,1,1
53,6291,5.0,801.650555,1,0
57,6291,5.0,1073.79406,1,0
51,4863,2.0,636.978773,1,0
63,6291,15.0,1215.460219,0,0
32,3375,2.0,588.439353,1,0
69,6291,8.0,877.229215,1,0
51,6291,12.0,1240.819759,1,0
43,6291,5.0,1022.496185,1,0
60,6291,6.0,1391.121251,1,0
48,3798,4.0,873.201098,1,0
55,2061,13.0,719.200998,1,0
52,124,10.0,1018.901958,1,1
44,3393,0.0,809.158415,1,0
57,4332,13.0,947.112509,1,0
56,2111,0.0,411.857965,1,1
69,2782,15.0,729.06764,1,0
60,306,2.0,1090.521828,1,1
76,6291,15.0,1055.587727,1,0
106,6291,15.0,834.591404,1,0
63,4916,15.0,543.94259,1,0
63,6291,15.0,1283.5561,1,0
77,6291,2.0,1346.155197,1,0
48,5985,0.0,956.601415,0,0
55,274,11.0,832.92463,1,0
72,6291,6.0,644.16314,1,0
49,2262,10.0,1006.213979,1,0
46,1046,15.0,940.872282,1,0
37,3448,14.0,739.648754,1,0
31,4027,0.0,758.295951,1,0
36,1349,6.801,951.219428,0,0
63,2471,10.0,1058.853206,1,0
70,191,15.0,1115.828821,1,0
31,738,8.0,639.312667,1,0
52,1878,1.0,939.449541,1,0
69,1879,12.0,943.067234,1,0
54,131,15.0,824.605511,1,1
34,3850,2.0,306.821081,1,0
50,5362,5.0,1050.576185,1,0
27,2020,15.0,944.002172,1,0
50,234,2.0,844.582704,0,0
67,6289,6.0,967.841726,1,0
82,470,12.0,1320.283914,1,0
52,6277,15.0,464.397559,0,0
40,1212,1.0,736.466746,1,0
55,2052,15.0,1138.020525,1,0
42,88,9.0,1680.879057,1,0
57,2894,2.0,699.973427,1,0
51,6109,8.0,1000.505621,1,0
39,3919,5.0,369.069094,1,0
37,69,3.0,151.528826,1,0
55,1204,15.0,1153.338574,1,0
48,5501,13.0,1058.817506,1,1
50,5896,0.0,734.401208,1,0
93,275,15.0,1174.176952,1,0
31,1412,2.0,1031.519254,1,1
50,5239,2.0,1178.213717,1,0
39,77,2.0,531.298925,0,1
37,2734,3.0,395.505205,1,0
32,2940,3.0,579.736818,1,0
59,1505,1.0,1095.348842,1,0
28,3096,15.0,980.063286,1,0
50,3538,6.0,1146.189453,1,0
54,1956,15.0,1366.633437,1,0
54,6291,5.0,993.000998,1,0
56,2778,14.0,879.286139,1,0
55,80,1.0,1109.607074,1,1
55,1204,5.0,986.619802,1,0
39,1899,12.0,909.664497,1,0
43,3233,7.0,713.902766,1,0
35,5190,4.0,853.730112,1,0
53,1952,9.0,1290.323429,1,0
45,2484,6.0,851.298275,1,0
62,3222,3.0,494.344658,1,0
39,3099,15.0,502.853588,1,0
55,2008,12.0,1236.632049,0,0
45,4953,9.0,1039.543747,1,0
53,5704,8.0,1217.837182,1,0
61,1425,8.0,805.196347,0,1
27,2862,6.0,470.044642,0,0
55,4031,15.0,1189.375345,1,0
55,2810,11.0,830.850195,1,0
74,6175,15.0,810.339834,1,0
44,4280,6.0,608.871408,1,0
55,80,7.0,769.757836,1,1
61,316,4.0,775.096986,1,0
41,84,15.0,1085.873687,1,1
46,5566,4.0,803.481372,0,0
36,3326,15.0,1124.276138,0,0
47,6291,4.0,1038.83976,1,0
32,3170,3.0,886.746504,1,0
31,48,5.0,894.563918,1,1
34,119,4.0,1093.163583,1,1
41,1696,11.0,1062.940746,1,0
36,1694,15.0,400.140666,0,0
39,1944,11.0,1147.275218,1,0
38,2224,2.0,549.623812,1,0
55,3420,4.0,1183.837875,1,0
45,3467,1.0,936.961079,0,0
39,1543,6.0,922.394643,1,1
53,258,6.0,526.718225,1,0
41,5392,5.0,838.7772,1,0
91,2400,7.0,1062.129853,1,0
55,2008,8.0,641.02156,0,0
99,6291,11.0,1023.503525,1,0
45,889,4.0,1241.722446,1,1
69,4705,15.0,787.921747,1,0
36,3576,8.0,978.531516,1,0
66,3545,3.0,792.539439,1,0
79,2019,15.0,1026.825529,0,0
70,191,5.0,635.292441,1,0
63,2481,7.0,1240.267061,1,0
36,3919,1.0,1012.405914,0,0
55,275,6.0,997.555068,0,0
48,2170,0.0,1176.155382,1,0
67,6236,15.0,1139.771176,1,0
37,4785,13.0,1317.412474,1,0
55,5621,4.0,849.34157,1,0
42,4763,5.0,836.233853,1,0
50,1742,12.0,719.588447,1,0
33,55,15.0,1426.672783,1,1
76,3174,4.0,968.102997,0,0
55,4818,3.0,1115.765674,1,0
82,236,9.0,887.648382,1,0
35,2843,15.0,1086.441716,1,0
45,5383,11.0,1583.747835,1,0
36,585,7.0,1173.653607,1,0
60,2312,8.0,874.280534,1,0
50,1769,3.0,774.786891,1,0
75,3133,9.0,980.720694,1,0
54,5289,3.0,994.41992,1,0
71,2932,15.0,1208.789871,1,0
55,4015,6.801,650.283025,0,0
57,2134,15.0,1076.636152,1,0
46,6163,10.0,691.708024,1,0
58,6291,15.0,1068.51748,1,0
81,4646,4.0,628.339933,1,0
51,6291,7.0,670.984535,1,0
56,1392,3.0,1311.181582,1,0
58,293,15.0,1260.482424,1,0
64,169,6.0,1093.487301,1,0
64,336,6.0,1198.025823,1,1
40,3965,3.0,1056.578278,1,0
59,1508,8.0,921.205206,1,0
59,5224,8.0,1306.592383,1,0
56,6291,15.0,1130.84725,1,0
47,3723,15.0,915.17179,1,0
55,6291,10.0,942.441757,1,0
37,1732,4.0,659.896312,1,0
46,102,0.0,1117.830754,1,0
71,1940,15.0,1148.269147,0,0
41,5432,12.0,705.246964,0,0
50,5362,6.0,578.914835,1,0
34,3481,3.0,1045.854238,1,0
41,854,2.0,1270.52715,1,0
46,1559,0.0,1004.347073,0,0
50,5253,9.0,758.125656,1,0
83,3576,15.0,1160.684061,1,0
46,4182,3.0,757.165613,1,0
64,1672,11.0,720.914282,1,0
42,6190,11.0,834.441969,1,0
34,3463,15.0,739.710669,0,0
33,4191,3.0,1340.71139,1,0
55,4416,2.0,1151.28424,1,0
46,933,6.0,362.202746,1,0
69,188,11.0,833.210686,0,0
60,6291,15.0,856.510654,1,0
61,3952,15.0,936.175255,1,0
34,1160,0.0,775.979184,1,0
70,192,10.0,823.383625,1,0
49,1719,15.0,688.430852,1,0
69,5609,8.0,1078.67651,1,0
51,4266,12.0,990.661509,0,0
55,6291,15.0,781.573364,0,0
55,4416,6.801,897.699358,1,0
45,1000,3.0,1344.238968,1,0
61,3131,3.0,803.707596,1,0
55,2409,3.0,696.929187,1,0
39,158,6.801,1186.805861,1,0
43,184,15.0,591.966035,1,1
36,1007,4.0,811.667816,1,0
71,1759,14.0,271.386927,1,0
93,6291,2.0,618.88244,1,0
67,2704,4.0,738.078569,0,0
38,74,7.0,938.102711,1,0
41,749,6.801,649.024999,1,0
46,3109,14.0,918.864092,1,0
74,3083,15.0,746.799653,1,0
42,5268,2.0,665.819968,1,0
53,2602,13.0,950.265048,1,0
64,6291,3.0,593.823857,1,0
55,3212,13.0,810.841496,0,0
27,1334,15.0,525.968802,1,0
52,2523,3.0,1164.723643,1,0
62,6291,15.0,1331.000928,1,0
55,2409,2.0,994.992954,1,0
73,202,6.0,1381.389787,1,0
49,3989,3.0,969.969532,0,0
50,5881,11.0,1190.028082,1,0
55,3367,2.0,723.938791,1,0
32,2657,15.0,1148.269908,1,0
71,6291,15.0,709.027627,1,0
53,2578,6.0,682.973724,1,0
65,2595,15.0,825.803411,1,0
38,4878,6.0,1068.065663,1,0
61,1584,6.0,966.702421,1,0
77,6291,15.0,1077.421066,1,0
30,2880,2.0,992.576687,1,0
56,6291,11.0,1233.402987,1,0
65,6291,15.0,1139.571197,1,0
35,3189,1.0,571.932528,1,0
43,936,5.0,953.458202,1,0
55,1204,2.0,725.72361,1,0
63,2494,13.0,754.280043,1,0
43,5866,11.0,1054.642627,1,0
42,1317,0.0,773.588397,0,1
42,180,9.0,672.130617,1,0
38,1098,10.0,644.993514,0,0
55,161,8.0,665.866915,0,0
38,4411,5.0,930.963888,1,0
40,5313,6.0,577.475764,1,0
55,1204,15.0,1120.928238,1,0
81,4591,15.0,1093.291217,1,0
55,3614,1.0,801.069725,1,0
31,4180,14.0,463.220547,1,0
55,1204,0.0,736.509162,0,0
48,985,5.0,1148.691911,1,1
73,4019,14.0,570.538846,1,0
47,1587,1.0,847.605234,0,0
83,4780,15.0,829.783222,1,0
57,6291,15.0,997.452538,1,0
74,6212,8.0,1024.109661,1,0
37,1379,0.0,781.088696,1,0
53,1919,12.0,801.567467,1,0
54,130,9.0,1159.258276,1,1
61,1560,15.0,843.355784,1,0
33,3976,1.0,1044.216345,1,0
53,4447,11.0,861.619876,0,0
43,2317,1.0,686.977995,1,0
62,4889,13.0,1193.265291,1,0
67,4469,11.0,867.832239,1,0
36,66,1.0,1310.494613,1,0
66,177,15.0,842.844454,1,1
55,4416,2.0,954.23482,1,0
34,2706,5.0,751.305444,1,0
55,161,7.0,1180.319047,1,0
49,224,11.0,739.707336,1,0
90,3950,15.0,971.623727,1,0
72,6291,4.0,676.179155,1,0
55,2409,9.0,1100.747259,1,0
42,1326,7.0,722.894758,1,0
39,155,8.0,837.896742,1,1
44,6124,4.0,688.134138,1,0
30,3347,15.0,1442.353081,1,1
36,2612,2.0,704.650938,1,0
49,5047,5.0,1021.901193,1,0
47,4841,9.0,997.695372,1,0
62,2408,11.0,1062.012082,1,0
65,4325,15.0,1120.535441,1,0
48,3808,5.0,1052.240861,1,0
28,2137,1.0,1007.99235,1,0
55,5220,3.0,839.38363,1,0
45,2954,15.0,1111.253194,1,0
66,5271,15.0,1249.604413,1,0
41,6291,2.0,1101.847248,1,0
30,886,14.0,904.426639,1,0
47,6291,15.0,996.003751,1,0
49,113,10.0,1037.39008,1,0
45,892,6.0,927.929582,1,0
41,774,4.0,1246.66714,1,0
84,6291,15.0,1010.708456,1,0
41,1281,3.0,511.531738,1,0
59,2262,4.0,1266.294163,1,0
50,4160,11.0,1050.481118,1,1
52,4426,11.0,391.851972,0,0
50,6291,15.0,1321.090646,1,0
47,6291,1.0,989.160886,0,1
30,413,9.0,718.37429,1,0
55,5621,4.0,969.940068,1,0
35,961,6.801,1013.353931,1,0
68,6291,15.0,937.506427,0,0
45,908,10.0,939.474555,1,0
45,5432,4.0,1013.831666,1,0
63,6291,8.0,1191.014441,1,0
37,3076,5.0,945.756535,1,0
31,95,5.0,1166.812573,1,0
68,364,15.0,1190.585262,1,0
50,4754,7.0,889.272051,1,0
69,2814,10.0,532.546675,1,0
41,1249,1.0,1069.293799,0,0
61,4706,15.0,949.464699,1,1
89,6291,9.0,1137.835625,1,0
48,2728,4.0,1218.180007,1,0
44,4741,5.0,1270.369426,1,0
39,2288,14.0,692.031206,0,0
48,2200,1.0,1159.261421,1,0
45,6291,7.0,478.95947,1,0
55,2742,12.0,577.094831,1,0
38,2215,11.0,611.93929,1,0
53,6291,3.0,927.632202,1,0
56,4820,6.0,1379.155137,1,0
28,2800,3.0,1098.059012,1,0
41,86,2.0,738.164667,0,0
65,2595,15.0,784.906084,1,0
61,4752,15.0,1160.953091,1,1
44,95,9.0,1140.475453,1,1
34,519,4.0,1028.410269,1,0
31,1992,5.0,745.721386,1,0
58,146,10.0,867.027172,1,0
70,191,15.0,833.1872,1,0
42,6291,5.0,1377.445883,0,0
57,2839,1.0,828.201256,1,0
55,2810,2.0,544.165182,1,0
42,6146,0.0,1184.573502,1,0
37,143,2.0,1124.981283,1,0
55,6046,5.0,803.632691,1,0
55,803,0.0,1189.017902,1,1
54,4617,13.0,811.469802,1,0
41,2498,2.0,594.752918,0,0
33,112,5.0,948.01998,1,0
76,6291,2.0,871.463475,1,0
55,273,2.0,910.576691,0,1
63,327,15.0,1115.285643,0,0
46,3659,3.0,805.372135,1,0
37,1397,2.0,670.499601,1,0
52,3154,3.0,852.577438,1,0
48,3872,4.0,675.446962,1,0
68,6291,15.0,1361.412949,1,0
59,6291,1.0,989.052247,1,0
59,150,1.0,818.354309,1,0
40,4512,9.0,418.840998,1,0
44,95,6.0,923.516765,1,1
67,181,5.0,515.259661,1,0
40,1208,6.0,1421.867139,1,0
62,6291,0.0,880.435488,0,0
51,6003,12.0,324.246081,1,0
55,4015,1.0,425.874368,1,0
42,4376,13.0,1537.900091,1,0
54,132,2.0,423.452168,1,1
55,2723,15.0,1025.291071,1,0
61,5533,15.0,966.570049,1,0
55,5399,15.0,1018.53583,1,0
91,3996,4.0,844.971317,1,0
38,6120,15.0,1215.541032,1,0
51,4223,0.0,655.805492,1,0
37,2782,4.0,1101.917226,1,0
40,83,4.0,909.228212,1,0
41,1272,8.0,1443.583952,1,0
37,4976,4.0,916.216578,1,0
37,643,13.0,1208.108357,1,0
66,2631,6.0,688.700031,0,0
58,1335,9.0,1183.190549,1,0
30,458,14.0,780.727499,0,0
38,1482,8.0,873.622084,1,0
55,2033,5.0,787.660323,1,1
38,662,1.0,849.176552,0,0
64,5007,15.0,993.01397,1,0
59,3716,15.0,1332.079035,0,0
83,5952,13.0,857.298979,1,0
53,129,0.0,968.916536,1,1
67,3581,9.0,642.854884,1,0
46,4705,2.0,1102.839993,1,0
35,1534,2.0,864.554677,1,0
41,83,4.0,749.576461,1,1
34,59,4.0,695.794471,1,1
46,5683,12.0,863.276371,1,0
64,1703,3.0,1118.116574,1,0
61,5576,10.0,1231.456511,1,0
40,163,6.801,802.703357,1,1
63,330,8.0,588.700123,1,0
44,95,11.0,1217.602295,1,1
53,3803,2.0,470.996276,1,0
57,4958,7.0,1110.947413,1,0
45,1481,6.0,927.691739,1,0
33,1352,1.0,792.460533,1,0
44,4801,5.0,906.763885,1,0
54,1193,12.0,934.080622,1,0
51,1094,1.0,1218.415606,0,0
47,3164,2.0,1009.354143,1,0
33,4724,6.0,518.345202,1,0
53,260,6.0,959.517812,1,1
49,1040,4.0,1008.502006,1,0
53,1906,8.0,715.943942,1,0
53,4511,8.0,1271.394899,1,0
55,4416,3.0,886.214727,0,1
56,1380,5.0,804.175518,1,0
50,6291,4.0,1297.362169,1,0
53,6291,15.0,822.179446,1,0
55,803,3.0,919.735761,1,0
69,1861,15.0,854.446029,0,0
53,1924,4.0,842.212874,1,0
68,3679,15.0,1062.258006,1,0
56,2791,8.0,1283.642399,1,0
39,3472,5.0,691.357143,1,0
56,140,15.0,1108.410126,1,0
53,1149,6.0,805.470703,1,0
44,1908,1.0,532.323543,0,0
61,6263,4.0,909.118651,1,0
38,1489,15.0,903.757616,1,0
66,1576,15.0,665.020096,1,0
60,5352,1.0,664.656233,1,0
66,2640,15.0,927.110779,1,0
82,471,15.0,1133.665944,1,0
63,327,15.0,1266.21373,1,0
50,6291,1.0,562.84895,1,0
33,2501,2.0,672.831085,1,0
45,4011,6.0,749.002393,1,0
53,6291,15.0,854.572606,0,0
51,1228,15.0,1202.962516,1,0
65,1727,11.0,964.546204,1,1
55,2008,15.0,1237.992267,1,0
55,2029,5.0,636.662704,0,0
65,6033,7.0,846.706713,1,0
63,4089,3.0,662.892763,1,0
49,115,12.0,809.791294,1,0
55,1204,3.0,1005.220108,1,0
66,176,15.0,1033.454958,1,0
42,176,1.0,816.617366,1,0
74,409,0.0,980.045588,0,0
68,2764,15.0,1173.273717,1,0
57,4332,4.0,940.330753,1,0
40,80,0.0,835.289338,1,1
56,140,2.0,725.241924,1,1
66,1757,15.0,877.576549,1,0
38,1117,6.0,791.447404,1,0
39,781,0.0,1166.567388,0,0
48,1664,7.0,1117.16384,1,1
69,2809,15.0,1306.774915,1,0
79,1998,15.0,833.826728,1,0
65,3441,5.0,1103.284617,1,0
63,2499,15.0,885.895021,1,0
60,1376,9.0,1322.710861,1,0
46,4073,6.0,1061.240864,0,0
52,6291,6.801,1081.99545,1,0
75,3138,4.0,1263.717047,1,0
68,4606,15.0,915.537647,0,0
85,6291,13.0,942.103519,1,0
57,288,11.0,1266.193865,1,0
58,6291,3.0,888.78257,1,0
34,1488,4.0,723.322502,1,0
44,1945,0.0,797.550932,0,0
48,2231,15.0,761.811188,1,0
72,3989,15.0,1149.545273,1,0
54,5910,12.0,1037.266808,1,0
48,2200,3.0,1122.895884,1,0
53,6291,2.0,1403.44037,1,1
56,6291,8.0,1218.955412,1,0
39,1171,3.0,999.551761,1,0
45,1468,3.0,955.512838,1,0
34,4305,1.0,778.89592,1,0
53,1163,7.0,1167.095689,0,0
63,6291,12.0,1053.824128,1,0
66,6291,15.0,1735.156591,1,0
52,6291,10.0,1150.51469,1,0
33,3592,5.0,936.943044,1,0
68,6291,15.0,1127.186821,1,0
50,4106,4.0,781.452499,1,0
55,3212,4.0,1027.618941,0,0
44,1890,6.0,279.359941,1,0
41,1290,7.0,550.51414,1,0
45,5853,13.0,1178.325203,1,0
41,2097,8.0,887.617299,1,0
54,132,0.0,928.026324,1,1
51,4826,8.0,872.337804,1,0
81,462,2.0,784.317551,1,1
51,1078,10.0,1335.135534,1,0
50,1778,5.0,589.661233,1,1
61,1584,9.0,884.25705,1,0
44,4726,15.0,1415.216904,1,0
60,153,13.0,1447.579155,1,1
41,170,0.0,545.013724,1,0
62,5671,15.0,1053.156926,1,0
54,5978,14.0,1475.13789,1,0
37,4229,5.0,857.512508,1,0
35,961,6.0,652.768947,1,1
55,6022,2.0,425.318448,1,0
55,161,3.0,776.771547,1,1
55,161,7.0,1050.645451,1,1
44,1409,2.0,509.729117,1,0
43,5415,5.0,1628.806657,1,0
49,114,2.0,901.870248,1,0
63,2490,2.0,797.415179,1,0
66,6291,12.0,1042.328874,1,0
40,2059,15.0,923.62274,0,0
55,2810,5.0,1189.79314,1,0
64,4218,7.0,1027.594977,1,0
70,1727,15.0,441.563532,0,0
59,2244,10.0,1055.017794,1,0
44,95,5.0,933.481943,1,1
52,6291,15.0,1116.887361,1,0
48,5516,9.0,1106.234514,1,0
38,149,3.0,1343.898383,1,1
47,949,3.0,359.788964,0,0
43,1390,9.0,1416.624708,1,0
55,3614,2.0,819.320704,1,0
72,199,5.0,1035.241306,1,0
53,2596,2.0,1087.455297,1,0
95,2804,15.0,989.335403,1,0
34,898,8.0,1029.91474,0,0
62,6291,7.0,838.380947,1,0
40,83,12.0,849.237613,1,1
61,3168,15.0,1422.179812,1,1
37,4661,4.0,711.918864,0,0
59,6291,13.0,1131.624965,1,0
33,2284,1.0,687.798284,0,0
54,5991,13.0,1037.491155,1,0
59,304,1.0,547.910988,0,1
30,3923,1.0,816.587647,1,0
65,5144,15.0,1002.358531,1,0
42,807,2.0,901.548558,0,0
33,4648,3.0,1098.774276,1,0
45,1495,7.0,1103.708419,0,0
49,6291,7.0,1056.338041,1,0
41,86,6.0,887.325336,1,1
41,5490,6.0,819.616277,1,0
56,4159,15.0,622.645865,0,0
55,4416,7.0,820.215433,1,0
57,6291,15.0,864.216303,1,0
34,1481,3.0,670.285337,1,0
32,802,0.0,861.378912,1,0
42,1326,2.0,1019.919613,1,0
31,98,0.0,1038.141254,1,1
58,292,3.0,1247.434781,1,0
55,5220,4.0,920.34918,1,0
53,4469,15.0,1045.222649,1,0
41,5590,5.0,719.715666,1,0
50,1064,7.0,749.063639,1,0
56,2097,12.0,1499.12134,1,0
42,2699,7.0,1265.240935,1,0
34,586,15.0,1087.912122,0,0
35,2551,4.0,821.499972,1,0
32,1329,15.0,1242.513615,1,0
75,5268,14.0,1127.762795,1,0
56,138,7.0,785.351674,1,0
55,137,4.0,1408.76889,1,0
44,3287,2.0,873.501254,1,0
62,3222,15.0,955.079978,1,0
71,1952,9.0,971.596292,1,0
79,3334,4.0,576.203882,1,0
92,270,11.0,878.231377,1,0
41,83,3.0,175.084753,1,1
47,3200,3.0,1078.618675,1,0
84,485,2.0,708.888371,1,0
44,4801,2.0,959.034,1,0
30,1760,1.0,984.241198,1,0
48,111,9.0,1089.180162,1,0
32,1849,11.0,1121.201683,1,0
73,3042,5.0,997.554496,1,0
57,4268,15.0,905.682702,1,0
44,5349,11.0,1107.771709,1,1
50,1764,4.0,794.371681,1,0
52,3123,2.0,897.275809,1,0
61,6291,6.0,1029.735316,1,0
55,1606,4.0,688.466292,1,0
94,2507,1.0,1143.96056,1,0
40,2871,11.0,1160.511501,1,0
39,2743,0.0,714.483519,0,1
49,1037,10.0,955.232936,1,0
40,3610,0.0,966.812341,1,0
55,4416,3.0,775.331492,1,0
56,1386,5.0,597.696049,1,0
44,2872,5.0,524.278146,1,0
34,4557,3.0,1132.562605,1,0
60,2321,12.0,792.944773,1,0
73,3033,9.0,470.530449,1,0
37,137,1.0,1043.5577,1,1
55,5621,0.0,711.829894,1,0
52,4362,15.0,960.29386,1,1
42,176,3.0,946.938854,0,0
48,6291,0.0,889.704623,1,0
65,172,2.0,893.376038,1,0
68,1650,15.0,557.970102,1,0
40,725,4.0,1222.103396,1,1
43,3683,15.0,1310.509979,1,1
68,2754,4.0,689.225638,1,0
39,5016,15.0,1112.91957,1,0
54,264,6.801,1124.52898,1,0
61,6291,7.0,1342.560847,1,0
80,228,4.0,1195.082767,1,0
60,2330,15.0,1036.317833,1,0
75,6291,11.0,614.978512,1,0
67,179,11.0,1199.1483,1,1
55,723,2.0,1119.348158,1,0
57,5000,2.0,852.991733,1,0
47,2103,8.0,740.005509,1,0
47,5784,15.0,1013.702422,1,0
55,80,2.0,950.656702,1,1
40,2829,4.0,435.732432,0,0
56,4937,2.0,677.643934,1,0
45,2018,15.0,809.668533,1,0
39,4648,0.0,1216.340493,1,0
46,4622,7.0,1037.164565,1,0
32,1512,6.801,740.63357,1,0
55,4416,1.0,433.548384,1,0
55,5621,8.0,1239.458972,1,0
45,99,7.0,1348.690528,1,1
31,2338,1.0,986.398247,1,0
48,109,7.0,1243.158885,1,0
35,623,0.0,323.655745,0,0
55,3614,4.0,983.662245,1,0
36,1686,4.0,1103.928605,1,0
55,80,6.801,1202.475503,1,0
51,4276,15.0,941.737199,1,0
41,5530,5.0,1066.162539,0,0
41,3415,2.0,812.941173,1,0
70,2850,12.0,591.984632,1,0
63,5820,12.0,1266.389571,1,0
68,364,4.0,1171.224825,1,1
34,3752,2.0,593.8886,1,0
55,5220,15.0,651.14151,1,0
74,409,15.0,1057.924023,1,0
55,5220,12.0,1065.985883,1,0
95,2540,15.0,970.592696,1,0
44,3329,11.0,1017.302701,1,1
50,2328,2.0,916.144898,1,0
44,95,0.0,1675.471555,1,1
32,774,7.0,1490.957249,1,0
52,4362,5.0,471.638147,0,0
53,1929,2.0,932.260297,1,0
40,6291,3.0,835.975481,1,1
55,2052,7.0,608.01167,1,0
44,3804,8.0,1248.399763,1,0
55,5621,5.0,1030.564291,1,0
69,2828,8.0,772.068998,1,0
55,6022,2.0,811.627947,0,0
48,4388,10.0,437.856211,0,1
31,4233,6.0,761.915503,1,0
34,1519,1.0,858.175017,1,0
41,1702,3.0,1247.134789,1,0
61,5522,4.0,724.777192,1,0
46,3542,6.0,675.182581,1,0
70,6291,15.0,859.645148,1,0
61,5480,12.0,1032.00479,1,0
55,1204,4.0,1011.250888,1,0
38,4898,4.0,723.069013,1,0
35,1923,3.0,607.889876,1,0
55,2015,15.0,1505.441567,0,0
59,1349,9.0,1486.633215,1,0
64,3344,8.0,1092.489685,1,0
93,2458,2.0,614.26316,1,0
55,80,7.0,1076.517119,1,1
36,3901,15.0,1187.579733,1,0
58,3648,15.0,781.970538,1,0
32,770,2.0,890.989873,0,0
44,969,0.0,1228.094393,1,0
57,143,15.0,665.546653,1,0
56,2102,15.0,936.738651,1,0
42,6291,14.0,933.493967,1,0
96,6291,13.0,1088.970212,1,0
58,2967,15.0,972.751642,1,0
55,4015,1.0,1008.566127,1,0
